--- When using SR data,please cite us and provide a link and/or a mention.,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Better
Daniel Gafford\gaffoda01,PF-C,22,54,11,791,9.2,13.4,0,0,9.2,13.4,4.3,6.4,5.6,8.2,1.7,1.6,4.5,2.4,5.9,22.7,,131,107,0
Daniel Oturu\oturuda01,C,21,30,0,161,6.8,16,0.3,1.5,6.5,14.5,2.8,3.7,6.5,8.3,3.1,1.2,2.2,2.8,7.4,16.6,,106,109,0
Daniel Theis\theisda01,C,28,65,51,1601,7.7,14.2,1.5,4.6,6.2,9.6,2.3,3.3,2.8,8,3.3,1.2,1.7,2,5.1,19.1,,120,111,0
Danilo Gallinari\gallida01,PF,32,51,4,1222,8.3,19.1,4.1,10.2,4.1,8.9,6.5,7,0.7,7.8,3.1,1.2,0.4,1.7,4.2,27.2,,123,114,1
Danny Green\greenda02,SF,33,69,69,1934,5.6,13.6,4.4,10.8,1.2,2.8,0.8,1,1.4,5.1,2.9,2.3,1.4,1.7,3.1,16.3,,114,108,1
Dante Exum\exumda01,SG,25,6,3,116,4.3,11.1,0.9,4.7,3.4,6.4,0.4,0.9,0.9,6.4,5.5,1.7,0.9,3,3.8,9.8,,87,114,0
Danuel House\houseda01,SF,27,36,23,932,5.6,13.8,2.7,7.9,2.8,5.9,2.1,3.2,0.9,5.8,3.5,1,0.8,1.8,3.4,16,,104,117,0
DaQuan Jeffries\jeffrda01,SG,23,31,5,493,4.8,11.6,1.9,6.5,2.9,5.1,0.7,0.8,1.8,5,2.1,1.4,1,1.4,4.6,12.3,,104,117,0
Dario Šarić\saricda01,C,26,50,4,871,8.7,19.4,2.7,7.7,6,11.7,4.8,5.6,2.6,8.2,3.7,1.7,0.2,3.2,5.4,24.8,,109,111,0
Darius Bazley\bazleda01,PF,20,55,55,1714,7.6,19.1,2.3,7.9,5.3,11.2,3.5,4.9,1.4,9.6,2.7,0.8,0.7,3.4,1.7,20.9,,93,114,0
